t, viconX, viconY, viconZ, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, uwbD, uwbAntId, uwbRqstrId
1501395916.643560886,-0.064878903,-0.154558197,0.203105986,0.002879677,-0.014972464,1.594936848,-0.131587923,0.079697639,0.149999991,0.100000000,0.100000000,0.100000000,3.410000086,17.000000000,2.000000000
1501395916.675751209,-0.064878903,-0.154558197,0.203105986,0.002879677,-0.014972464,1.594936848,-0.131587923,0.079697639,0.149999991,0.100000000,0.100000000,0.100000000,3.140000105,0.000000000,1.000000000
1501395916.691509724,-0.064926237,-0.154529393,0.203050807,0.002971676,-0.014939872,1.594888806,-0.131608471,0.080101855,0.170000002,0.100000000,0.100000000,0.100000000,3.000999928,1.000000000,1.000000000
1501395916.707502842,-0.064905033,-0.154535249,0.203079596,0.002947695,-0.015013285,1.595176339,-0.131608471,0.080101855,0.170000002,0.100000000,0.100000000,0.100000000,3.456000090,0.000000000,2.000000000
1501395916.723552465,-0.064905033,-0.154535249,0.203079596,0.002947695,-0.015013285,1.595176339,-0.131608471,0.080101855,0.170000002,0.100000000,0.100000000,0.100000000,3.576999903,1.000000000,2.000000000
1501395916.739379168,-0.064922623,-0.154506087,0.203091472,0.002935022,-0.014987836,1.595262766,-0.131608471,0.080101855,0.170000002,0.100000000,0.100000000,0.100000000,2.959000111,16.000000000,1.000000000
1501395916.755347252,-0.064922623,-0.154506087,0.203091472,0.002935022,-0.014987836,1.595262766,-0.131608471,0.080101855,0.170000002,0.100000000,0.100000000,0.100000000,3.016999960,17.000000000,1.000000000
1501395916.771589041,-0.064922623,-0.154506087,0.203091472,0.002935022,-0.014987836,1.595262766,-0.131554544,0.079215892,0.140000001,0.100000000,0.100000000,0.100000000,3.463999987,16.000000000,2.000000000
1501395916.787765026,-0.064885885,-0.154542193,0.203082204,0.002875112,-0.014896073,1.595167279,-0.131554544,0.079215892,0.140000001,0.100000000,0.100000000,0.100000000,3.410000086,17.000000000,2.000000000
1501395916.819570541,-0.064894669,-0.154541418,0.203120634,0.002950867,-0.014985810,1.595069051,-0.131483659,0.080005601,0.189999998,0.100000000,0.100000000,0.100000000,3.142999887,0.000000000,1.000000000
1501395916.835472822,-0.064894669,-0.154541418,0.203120634,0.002950867,-0.014985810,1.595069051,-0.131483659,0.080005601,0.189999998,0.100000000,0.100000000,0.100000000,3.005000114,1.000000000,1.000000000
1501395916.851950407,-0.064945810,-0.154522419,0.203037724,0.002698970,-0.014946419,1.595000029,-0.131483659,0.080005601,0.189999998,0.100000000,0.100000000,0.100000000,3.459000111,0.000000000,2.000000000
1501395916.867336750,-0.064945810,-0.154522419,0.203037724,0.002698970,-0.014946419,1.595000029,-0.131758928,0.079672471,0.140000001,0.100000000,0.100000000,0.100000000,3.575000048,1.000000000,2.000000000
1501395916.883493662,-0.064945810,-0.154522419,0.203037724,0.002698970,-0.014946419,1.595000029,-0.131758928,0.079672471,0.140000001,0.100000000,0.100000000,0.100000000,2.957000017,16.000000000,1.000000000
1501395916.915344954,-0.064865030,-0.154577360,0.203091711,0.002707708,-0.014805661,1.594959259,-0.131754905,0.078907169,0.129999995,0.100000000,0.100000000,0.100000000,3.463999987,16.000000000,2.000000000
1501395916.931656837,-0.064872168,-0.154562518,0.203119397,0.003055264,-0.015259923,1.594864726,-0.131754905,0.078907169,0.129999995,0.100000000,0.100000000,0.100000000,3.426000118,17.000000000,2.000000000
1501395916.963349581,-0.064884149,-0.154558703,0.203072220,0.002873427,-0.015005851,1.595064044,-0.131754905,0.078907169,0.129999995,0.100000000,0.100000000,0.100000000,3.142999887,0.000000000,1.000000000
1501395916.979359150,-0.064847104,-0.154555231,0.203113243,0.003068793,-0.015057255,1.595159292,-0.131985813,0.078977026,0.170000002,0.100000000,0.100000000,0.100000000,3.003000021,1.000000000,1.000000000
1501395916.995645761,-0.064847104,-0.154555231,0.203113243,0.003068793,-0.015057255,1.595159292,-0.131985813,0.078977026,0.170000002,0.100000000,0.100000000,0.100000000,3.461999893,0.000000000,2.000000000
1501395917.011572838,-0.064878725,-0.154538706,0.203078553,0.002973360,-0.014967505,1.595108032,-0.131985813,0.078977026,0.170000002,0.100000000,0.100000000,0.100000000,3.572000027,1.000000000,2.000000000
1501395917.027448654,-0.064900830,-0.154563889,0.203080669,0.002916770,-0.015005830,1.595227242,-0.131915689,0.078440480,0.170000002,0.100000000,0.100000000,0.100000000,2.917999983,16.000000000,1.000000000
1501395917.043460846,-0.064900830,-0.154563889,0.203080669,0.002916770,-0.015005830,1.595227242,-0.131915689,0.078440480,0.170000002,0.100000000,0.100000000,0.100000000,2.980999947,17.000000000,1.000000000
1501395917.059350967,-0.064868808,-0.154558435,0.203079879,0.002973936,-0.015021126,1.595247746,-0.131915689,0.078440480,0.170000002,0.100000000,0.100000000,0.100000000,3.460000038,16.000000000,2.000000000
1501395917.075621128,-0.064868808,-0.154558435,0.203079879,0.002973936,-0.015021126,1.595247746,-0.131309465,0.080316715,0.149999991,0.100000000,0.100000000,0.100000000,3.417999983,17.000000000,2.000000000
1501395917.107572317,-0.064920761,-0.154528454,0.203074366,0.003001697,-0.015151764,1.595044851,-0.131309465,0.080316715,0.149999991,0.100000000,0.100000000,0.100000000,3.138999939,0.000000000,1.000000000
1501395917.123359919,-0.064920761,-0.154528454,0.203074366,0.003001697,-0.015151764,1.595044851,-0.131309465,0.080316715,0.149999991,0.100000000,0.100000000,0.100000000,2.993999958,1.000000000,1.000000000
1501395917.139545441,-0.064920761,-0.154528454,0.203074366,0.003001697,-0.015151764,1.595044851,-0.131309465,0.080316715,0.149999991,0.100000000,0.100000000,0.100000000,3.461999893,0.000000000,2.000000000
1501395917.155308723,-0.064912423,-0.154550850,0.203072578,0.002899108,-0.015036865,1.594911337,-0.131567314,0.080464959,0.149999991,0.100000000,0.100000000,0.100000000,3.579999924,1.000000000,2.000000000
1501395917.171455145,-0.064912423,-0.154550850,0.203072578,0.002899108,-0.015036865,1.594911337,-0.131567314,0.080464959,0.149999991,0.100000000,0.100000000,0.100000000,2.881000042,16.000000000,1.000000000
1501395917.187636137,-0.064859711,-0.154561505,0.203112423,0.002970771,-0.015087134,1.594883800,-0.131567314,0.080464959,0.149999991,0.100000000,0.100000000,0.100000000,2.977999926,17.000000000,1.000000000
1501395917.203442812,-0.064859711,-0.154561505,0.203112423,0.002970771,-0.015087134,1.594883800,-0.131809592,0.079539344,0.189999998,0.100000000,0.100000000,0.100000000,3.464999914,16.000000000,2.000000000
1501395917.219775200,-0.064859711,-0.154561505,0.203112423,0.002970771,-0.015087134,1.594883800,-0.131809592,0.079539344,0.189999998,0.100000000,0.100000000,0.100000000,3.417999983,17.000000000,2.000000000
1501395917.251445055,-0.064874530,-0.154541656,0.203087389,0.002949023,-0.014988055,1.594963312,-0.130996004,0.082448706,0.170000002,0.100000000,0.100000000,0.100000000,3.132999897,0.000000000,1.000000000
1501395917.267644167,-0.064901561,-0.154574916,0.203066006,0.002832066,-0.014955140,1.595099568,-0.130996004,0.082448706,0.170000002,0.100000000,0.100000000,0.100000000,2.999000072,1.000000000,1.000000000
1501395917.283337116,-0.064884953,-0.154567495,0.203064203,0.002985561,-0.015005484,1.595037818,-0.130996004,0.082448706,0.170000002,0.100000000,0.100000000,0.100000000,3.454999924,0.000000000,2.000000000
1501395917.299346685,-0.064884953,-0.154567495,0.203064203,0.002985561,-0.015005484,1.595037818,-0.131202117,0.081929766,0.199999988,0.100000000,0.100000000,0.100000000,3.573999882,1.000000000,2.000000000
1501395917.315613747,-0.064906090,-0.154556394,0.203098625,0.003011790,-0.015007165,1.595041871,-0.131202117,0.081929766,0.199999988,0.100000000,0.100000000,0.100000000,2.959000111,16.000000000,1.000000000
1501395917.331583500,-0.064906090,-0.154556394,0.203098625,0.003011790,-0.015007165,1.595041871,-0.131202117,0.081929766,0.199999988,0.100000000,0.100000000,0.100000000,3.009000063,17.000000000,1.000000000
1501395917.347564697,-0.064906090,-0.154556394,0.203098625,0.003011790,-0.015007165,1.595041871,-0.132061437,0.081361577,0.140000001,0.100000000,0.100000000,0.100000000,3.467000008,16.000000000,2.000000000
1501395917.363858700,-0.064907774,-0.154563278,0.203068957,0.002933925,-0.015007628,1.595152378,-0.132061437,0.081361577,0.140000001,0.100000000,0.100000000,0.100000000,3.410000086,17.000000000,2.000000000
1501395917.395668030,-0.064922169,-0.154555827,0.203042611,0.002992977,-0.014984907,1.595170975,-0.132413343,0.081884205,0.189999998,0.100000000,0.100000000,0.100000000,3.134999990,0.000000000,1.000000000
1501395917.411499739,-0.064912505,-0.154539317,0.203057706,0.002944314,-0.015035807,1.594993234,-0.132413343,0.081884205,0.189999998,0.100000000,0.100000000,0.100000000,3.000999928,1.000000000,1.000000000
1501395917.427245140,-0.064887553,-0.154547110,0.203088149,0.003101293,-0.015077549,1.594985247,-0.132413343,0.081884205,0.189999998,0.100000000,0.100000000,0.100000000,3.461999893,0.000000000,2.000000000
1501395917.443350315,-0.064887553,-0.154547110,0.203088149,0.003101293,-0.015077549,1.594985247,-0.132413343,0.081884205,0.189999998,0.100000000,0.100000000,0.100000000,3.582000017,1.000000000,2.000000000
1501395917.459477663,-0.064879909,-0.154560566,0.203088194,0.003021536,-0.014914025,1.594895840,-0.132413343,0.081884205,0.189999998,0.100000000,0.100000000,0.100000000,2.917000055,16.000000000,1.000000000
1501395917.475903511,-0.064879909,-0.154560566,0.203088194,0.003021536,-0.014914025,1.594895840,-0.132868052,0.081382856,0.149999991,0.100000000,0.100000000,0.100000000,3.012000084,17.000000000,1.000000000
1501395917.491482258,-0.064893790,-0.154564902,0.203098476,0.002959079,-0.015083554,1.595022559,-0.132868052,0.081382856,0.149999991,0.100000000,0.100000000,0.100000000,3.467999935,16.000000000,2.000000000
