t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1501485745.709887505,-1.827993512,-0.564397156,1.033637166,0.045125619,-0.382581830,-0.079587772,0.046390016,-0.002425907,1.464017510,-0.497073263,1.791690588,0.969999969,-0.401728600,-0.062701374,-0.109302007,0.024636386,0.380825820,0.000000000,59.829666138,1.623299956,0.000000000,1.000000000,3.000000000
1501485745.734273434,-1.826734662,-0.572870731,1.031629324,0.048157394,-0.388539582,-0.084491476,0.044966847,-0.002023173,1.464001656,-0.497073263,1.791690588,0.969999969,-0.401728600,-0.062701374,-0.109302007,0.027826004,0.393567053,0.000000000,51.660678864,1.764000058,0.000000000,1.000000000,2.000000000
1501485745.736784697,-1.826734662,-0.572870731,1.031629324,0.048157394,-0.388539582,-0.084491476,0.044966847,-0.002023173,1.464001656,-0.497073263,1.791690588,0.969999969,-0.401728600,-0.062701374,-0.109302007,0.027826004,0.393567053,0.000000000,51.660678864,2.422300100,0.000000000,0.000000000,3.000000000
1501485745.758899212,-1.825127125,-0.581503689,1.029443026,0.051559180,-0.394842237,-0.089320347,0.043020904,-0.002049227,1.463630795,-0.511182070,1.787394166,0.949999988,-0.407780349,-0.070786744,-0.111632466,0.036332538,0.416232869,0.000000000,45.066070557,2.202600002,1.000000000,0.000000000,2.000000000
1501485745.762096882,-1.825127125,-0.581503689,1.029443026,0.051559180,-0.394842237,-0.089320347,0.043020904,-0.002049227,1.463630795,-0.511182070,1.787394166,0.949999988,-0.407780349,-0.070786744,-0.111632466,0.036332538,0.416232869,0.000000000,45.066070557,2.019000053,1.000000000,1.000000000,3.000000000
1501485745.784456968,-1.821123719,-0.603738546,1.024210930,0.060674030,-0.403997481,-0.099538818,0.037935700,-0.002351871,1.463025212,-0.511182070,1.787394166,0.949999988,-0.407780349,-0.070786744,-0.111632466,0.049661605,0.448032798,0.000000000,46.406066895,1.307600021,1.000000000,1.000000000,2.000000000
1501485745.784489155,-1.821123719,-0.603738546,1.024210930,0.060674030,-0.403997481,-0.099538818,0.037935700,-0.002351871,1.463025212,-0.511182070,1.787394166,0.949999988,-0.407780349,-0.070786744,-0.111632466,0.049661605,0.448032798,0.000000000,46.406066895,2.936000109,1.000000000,0.000000000,3.000000000
1501485745.825490475,-1.821123719,-0.603738546,1.024210930,0.060674030,-0.403997481,-0.099538818,0.037935700,-0.002351871,1.463025212,-0.526135862,1.779890180,0.959999979,-0.411491901,-0.082612075,-0.101908825,0.061646476,0.470959689,0.000000000,45.789093018,2.750999928,0.000000000,0.000000000,2.000000000
1501485745.825538397,-1.821123719,-0.603738546,1.024210930,0.060674030,-0.403997481,-0.099538818,0.037935700,-0.002351871,1.463025212,-0.526135862,1.779890180,0.959999979,-0.411491901,-0.082612075,-0.101908825,0.061646476,0.470959689,0.000000000,45.789093018,1.650300026,0.000000000,1.000000000,3.000000000
1501485745.850562096,-1.818686962,-0.617115319,1.021007895,0.064871088,-0.413517475,-0.103777371,0.033577442,-0.003386438,1.463305712,-0.526135862,1.779890180,0.959999979,-0.411491901,-0.082612075,-0.101908825,0.072427403,0.491572088,0.000000000,44.644268036,1.766999960,0.000000000,1.000000000,2.000000000
1501485745.850596666,-1.818686962,-0.617115319,1.021007895,0.064871088,-0.413517475,-0.103777371,0.033577442,-0.003386438,1.463305712,-0.526135862,1.779890180,0.959999979,-0.411491901,-0.082612075,-0.101908825,0.072427403,0.491572088,0.000000000,44.644268036,2.443300009,0.000000000,0.000000000,3.000000000
1501485745.878783226,-1.818686962,-0.617115319,1.021007895,0.064871088,-0.413517475,-0.103777371,0.033577442,-0.003386438,1.463305712,-0.547140479,1.777282596,0.930000007,-0.413656324,-0.084458180,-0.092478432,0.087798174,0.515828632,0.000000000,42.729953766,2.209599972,1.000000000,0.000000000,2.000000000
1501485745.878882408,-1.818686962,-0.617115319,1.021007895,0.064871088,-0.413517475,-0.103777371,0.033577442,-0.003386438,1.463305712,-0.547140479,1.777282596,0.930000007,-0.413656324,-0.084458180,-0.092478432,0.087798174,0.515828632,0.000000000,42.729953766,2.035000086,1.000000000,1.000000000,3.000000000
1501485745.900614977,-1.816131949,-0.630713165,1.017983913,0.071307942,-0.422770292,-0.108761624,0.029624432,-0.005499782,1.463262558,-0.547140479,1.777282596,0.930000007,-0.413656324,-0.084458180,-0.092478432,0.087798174,0.515828632,0.000000000,42.729953766,1.321599960,1.000000000,1.000000000,2.000000000
1501485745.903548717,-1.816131949,-0.630713165,1.017983913,0.071307942,-0.422770292,-0.108761624,0.029624432,-0.005499782,1.463262558,-0.547140479,1.777282596,0.930000007,-0.413656324,-0.084458180,-0.092478432,0.087798174,0.515828632,0.000000000,42.729953766,2.937999964,1.000000000,0.000000000,3.000000000
1501485745.942118406,-1.811472297,-0.653623879,1.013338089,0.080807604,-0.446318954,-0.114725217,0.021437289,-0.008433556,1.462090850,-0.578226328,1.763981223,0.899999976,-0.415844977,-0.097550146,-0.081153564,0.114059009,0.551581082,0.000000000,49.646545410,2.798000097,0.000000000,0.000000000,2.000000000
1501485745.942468643,-1.811472297,-0.653623879,1.013338089,0.080807604,-0.446318954,-0.114725217,0.021437289,-0.008433556,1.462090850,-0.578226328,1.763981223,0.899999976,-0.415844977,-0.097550146,-0.081153564,0.114059009,0.551581082,0.000000000,49.646545410,1.635300040,0.000000000,1.000000000,3.000000000
1501485745.966211796,-1.808870196,-0.667434275,1.010828257,0.085456476,-0.459005147,-0.117004037,0.016312543,-0.010901163,1.461936235,-0.578226328,1.763981223,0.899999976,-0.415844977,-0.097550146,-0.081153564,0.114059009,0.551581082,0.000000000,49.646545410,1.850000024,0.000000000,1.000000000,2.000000000
1501485745.967024565,-1.808870196,-0.667434275,1.010828257,0.085456476,-0.459005147,-0.117004037,0.016312543,-0.010901163,1.461936235,-0.578226328,1.763981223,0.899999976,-0.415844977,-0.097550146,-0.081153564,0.114059009,0.551581082,0.000000000,49.646545410,2.495300055,0.000000000,0.000000000,3.000000000
1501485745.991362810,-1.808870196,-0.667434275,1.010828257,0.085456476,-0.459005147,-0.117004037,0.016312543,-0.010901163,1.461936235,-0.595586181,1.766216040,0.899999976,-0.409409344,-0.086940624,-0.078508541,0.125024276,0.563463274,0.000000000,60.883045197,2.049000025,1.000000000,1.000000000,3.000000000
