t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1501656902.969592333,0.540847361,0.575039625,0.191229329,-0.000024166,0.000007384,-0.000052350,0.003743622,-0.005814862,1.546154499,0.374915004,-0.766360998,0.179999992,0.002290242,-0.027342228,-0.003521710,0.000000000,0.000000000,0.000000000,47.297946930,3.796000004,0.000000000,0.000000000,2.000000000
1501656902.969632626,0.540847361,0.575039625,0.191229329,-0.000024166,0.000007384,-0.000052350,0.003743622,-0.005814862,1.546154499,0.374915004,-0.766360998,0.179999992,0.002290242,-0.027342228,-0.003521710,0.000000000,0.000000000,0.000000000,47.297946930,3.589299917,0.000000000,1.000000000,3.000000000
1501656902.995345592,0.540896714,0.574998021,0.191276118,0.000075867,-0.000023598,0.000019621,0.003919561,-0.005893782,1.546046376,0.375091374,-0.766115308,0.099999994,0.002591076,-0.027787494,-0.004753053,0.000000000,0.000000000,0.000000000,47.172363281,3.529999971,0.000000000,1.000000000,2.000000000
1501656902.995379210,0.540896714,0.574998021,0.191276118,0.000075867,-0.000023598,0.000019621,0.003919561,-0.005893782,1.546046376,0.375091374,-0.766115308,0.099999994,0.002591076,-0.027787494,-0.004753053,0.000000000,0.000000000,0.000000000,47.172363281,3.678299904,0.000000000,0.000000000,3.000000000
1501656903.020172834,0.540825427,0.575045764,0.191245928,0.000023518,0.000025760,0.000005534,0.003954873,-0.005923843,1.546034336,0.596297026,-0.514979482,0.189999998,-0.005236438,-0.050695255,0.019787516,0.000000000,0.000000000,0.000000000,47.172363281,3.279599905,1.000000000,0.000000000,2.000000000
1501656903.020225286,0.540825427,0.575045764,0.191245928,0.000023518,0.000025760,0.000005534,0.003954873,-0.005923843,1.546034336,0.596297026,-0.514979482,0.189999998,-0.005236438,-0.050695255,0.019787516,0.000000000,0.000000000,0.000000000,47.172363281,3.940000057,1.000000000,1.000000000,3.000000000
1501656903.045140982,0.540827096,0.575008571,0.191230744,-0.000013366,0.000021965,-0.000019119,0.004000259,-0.005988543,1.546022296,0.596297026,-0.514979482,0.189999998,-0.005236438,-0.050695255,0.019787516,0.000000000,0.000000000,0.000000000,47.243114471,3.243599892,1.000000000,1.000000000,2.000000000
1501656903.045180082,0.540827096,0.575008571,0.191230744,-0.000013366,0.000021965,-0.000019119,0.004000259,-0.005988543,1.546022296,0.596297026,-0.514979482,0.189999998,-0.005236438,-0.050695255,0.019787516,0.000000000,0.000000000,0.000000000,47.243114471,3.979000092,1.000000000,0.000000000,3.000000000
1501656903.085556984,0.540875196,0.574993491,0.191269457,0.000020589,0.000014119,0.000002001,0.004008540,-0.005994011,1.546037674,0.515136361,-0.642835498,0.149999991,-0.000928183,-0.074338235,0.026251014,0.000000000,0.000000000,0.000000000,47.302665710,3.584300041,0.000000000,1.000000000,3.000000000
1501656903.085597754,0.540875196,0.574993491,0.191269457,0.000020589,0.000014119,0.000002001,0.004008540,-0.005994011,1.546037674,0.515136361,-0.642835498,0.149999991,-0.000928183,-0.074338235,0.026251014,0.000000000,0.000000000,0.000000000,47.302665710,3.796000004,0.000000000,0.000000000,2.000000000
1501656903.110913515,0.540875196,0.574993491,0.191269457,0.000020589,0.000014119,0.000002001,0.004008540,-0.005994011,1.546037674,0.514483631,-0.645787716,0.140000001,-0.009056169,-0.084611751,0.022435505,0.000000000,0.000000000,0.000000000,47.387508392,3.532000065,0.000000000,1.000000000,2.000000000
1501656903.111146688,0.540875196,0.574993491,0.191269457,0.000020589,0.000014119,0.000002001,0.004008540,-0.005994011,1.546037674,0.514483631,-0.645787716,0.140000001,-0.009056169,-0.084611751,0.022435505,0.000000000,0.000000000,0.000000000,47.387508392,3.674299955,0.000000000,0.000000000,3.000000000
1501656903.135405302,0.540835261,0.575002670,0.191216514,-0.000006657,0.000027238,-0.000034026,0.003778029,-0.005926314,1.546192646,0.570984900,-0.603392720,0.149999991,-0.005976431,-0.086819395,0.026851093,0.000000000,0.000000000,0.000000000,47.266056061,3.352600098,1.000000000,0.000000000,2.000000000
1501656903.135560989,0.540835261,0.575002670,0.191216514,-0.000006657,0.000027238,-0.000034026,0.003778029,-0.005926314,1.546192646,0.570984900,-0.603392720,0.149999991,-0.005976431,-0.086819395,0.026851093,0.000000000,0.000000000,0.000000000,47.266056061,3.940000057,1.000000000,1.000000000,3.000000000
1501656903.162914038,0.540884137,0.575019598,0.191238001,0.000037505,0.000048085,-0.000044173,0.003769640,-0.005792878,1.546099067,0.585194945,-0.577326417,0.129999995,-0.004645918,-0.085958198,0.005376897,0.000000000,0.000000000,0.000000000,47.301681519,3.238600016,1.000000000,1.000000000,2.000000000
1501656903.162949800,0.540884137,0.575019598,0.191238001,0.000037505,0.000048085,-0.000044173,0.003769640,-0.005792878,1.546099067,0.585194945,-0.577326417,0.129999995,-0.004645918,-0.085958198,0.005376897,0.000000000,0.000000000,0.000000000,47.301681519,3.976999998,1.000000000,0.000000000,3.000000000
1501656903.201912642,0.540892243,0.574986041,0.191284999,0.000055805,-0.000017852,-0.000002129,0.003911491,-0.005994548,1.546110034,0.565156281,-0.618223608,0.179999992,-0.003877206,-0.083109573,-0.044877551,0.000000000,0.000000000,0.000000000,47.414707184,3.796000004,0.000000000,0.000000000,2.000000000
1501656903.202243805,0.540892243,0.574986041,0.191284999,0.000055805,-0.000017852,-0.000002129,0.003911491,-0.005994548,1.546110034,0.565156281,-0.618223608,0.179999992,-0.003877206,-0.083109573,-0.044877551,0.000000000,0.000000000,0.000000000,47.414707184,3.592299938,0.000000000,1.000000000,3.000000000
1501656903.230890274,0.540884912,0.575003445,0.191269159,0.000064724,-0.000025705,0.000029656,0.003916560,-0.005938966,1.546059966,0.597261965,-0.580391347,0.089999996,-0.002729324,-0.075077549,-0.106635839,0.000000000,0.000000000,0.000000000,47.305110931,3.533999920,0.000000000,1.000000000,2.000000000
1501656903.230927229,0.540884912,0.575003445,0.191269159,0.000064724,-0.000025705,0.000029656,0.003916560,-0.005938966,1.546059966,0.597261965,-0.580391347,0.089999996,-0.002729324,-0.075077549,-0.106635839,0.000000000,0.000000000,0.000000000,47.305110931,3.645299911,0.000000000,0.000000000,3.000000000
1501656903.251828671,0.540884912,0.575003445,0.191269159,0.000064724,-0.000025705,0.000029656,0.003916560,-0.005938966,1.546059966,0.597796857,-0.580032825,0.099999994,-0.002168021,-0.071164101,-0.111466885,0.000000000,0.000000000,0.000000000,47.305110931,3.319600105,1.000000000,0.000000000,2.000000000
1501656903.251881123,0.540884912,0.575003445,0.191269159,0.000064724,-0.000025705,0.000029656,0.003916560,-0.005938966,1.546059966,0.597796857,-0.580032825,0.099999994,-0.002168021,-0.071164101,-0.111466885,0.000000000,0.000000000,0.000000000,47.305110931,3.940000057,1.000000000,1.000000000,3.000000000
1501656903.276974678,0.540884912,0.575003445,0.191269159,0.000064724,-0.000025705,0.000029656,0.003916560,-0.005938966,1.546059966,0.597796857,-0.580032825,0.099999994,-0.002168021,-0.071164101,-0.111466885,0.000000000,0.000000000,0.000000000,47.286975861,3.200599909,1.000000000,1.000000000,2.000000000
1501656903.277023792,0.540884912,0.575003445,0.191269159,0.000064724,-0.000025705,0.000029656,0.003916560,-0.005938966,1.546059966,0.597796857,-0.580032825,0.099999994,-0.002168021,-0.071164101,-0.111466885,0.000000000,0.000000000,0.000000000,47.286975861,3.982000113,1.000000000,0.000000000,3.000000000
1501656903.318072796,0.540903270,0.575037718,0.191294655,0.000070356,0.000011922,0.000037033,0.004005412,-0.005814999,1.545956969,0.597229838,-0.581592560,0.140000001,-0.001720102,-0.065105982,-0.112794176,0.000000000,0.000000000,0.000000000,47.323818207,3.792999983,0.000000000,0.000000000,2.000000000
