t, viconX, viconY, viconZ, viconRo, viconPi, viconYa, uwbD, uwbAnt, uwbRspdX, uwbRspdY, uwbRspdZ, imuQx, imuQy, imuQz, imuQw, g2oX, g2oY, g2oZ, lidarZ
1499672060.416321516,-1.015563369,-1.873774409,0.222775310,-0.005255462,-0.003016936,1.589261055,2.254600048,2.000000000,0.000000000,0.000000000,1.514000000,-0.001484138,0.002641540,0.009236146,0.999952746,-1.849661408,0.991973798,0.185358585,0.199999994
1499672060.432191610,-1.015547752,-1.873763561,0.222763449,-0.005158494,-0.002980889,1.589272738,2.681299925,3.000000000,0.000000000,0.000000000,1.514000000,-0.001466548,0.002592900,0.009241844,0.999952782,-1.844967739,0.986135552,0.189174382,0.199999994
1499672060.448350906,-1.015584111,-1.873780966,0.222768292,-0.005304728,-0.002853955,1.589376092,2.904000044,4.000000000,0.000000000,0.000000000,1.514000000,-0.001402270,0.002665500,0.009293498,0.999952260,-1.848660489,0.988793240,0.193172734,0.199999994
1499672060.464031935,-1.015584111,-1.873780966,0.222768292,-0.005304728,-0.002853955,1.589376092,2.482000113,1.000000000,0.000000000,0.000000000,1.514000000,-0.001402270,0.002665500,0.009293498,0.999952260,-1.847817678,0.988603523,0.193583648,0.179999983
1499672060.480072021,-1.015588164,-1.873821616,0.222791344,-0.005157169,-0.002856483,1.589801669,2.251600027,2.000000000,0.000000000,0.000000000,1.514000000,-0.001403669,0.002592035,0.009506154,0.999950416,-1.847429600,0.988598301,0.193683639,0.179999983
1499672060.496360540,-1.015626073,-1.873837352,0.222747386,-0.005116432,-0.003076947,1.590413094,2.702300072,3.000000000,0.000000000,0.000000000,1.514000000,-0.001513303,0.002573177,0.009812096,0.999947385,-1.848463710,0.989453362,0.182480167,0.179999983
1499672060.512225866,-1.015626073,-1.873837352,0.222747386,-0.005116432,-0.003076947,1.590413094,2.898000002,4.000000000,0.000000000,0.000000000,1.514000000,-0.001513303,0.002573177,0.009812096,0.999947385,-1.848477267,0.989485626,0.182946439,0.179999983
1499672060.528286934,-1.015555143,-1.873790503,0.222792849,-0.004954710,-0.002789529,1.589104891,2.451999903,1.000000000,0.000000000,0.000000000,1.514000000,-0.001372023,0.002490014,0.009157546,0.999954064,-1.848564452,0.989575492,0.183533920,0.179999983
1499672060.544176102,-1.015555143,-1.873790503,0.222792849,-0.004954710,-0.002789529,1.589104891,2.252599955,2.000000000,0.000000000,0.000000000,1.514000000,-0.001372023,0.002490014,0.009157546,0.999954064,-1.850531834,0.990708967,0.182424725,0.179999983
1499672060.560167313,-1.015555143,-1.873790503,0.222792849,-0.004954710,-0.002789529,1.589104891,2.690299988,3.000000000,0.000000000,0.000000000,1.514000000,-0.001372023,0.002490014,0.009157546,0.999954064,-1.850279522,0.990823820,0.181144876,0.160000002
1499672060.575976610,-1.015478373,-1.873750567,0.222818702,-0.004817308,-0.003263779,1.588301897,2.885999918,4.000000000,0.000000000,0.000000000,1.514000000,-0.001610739,0.002422840,0.008756572,0.999957405,-1.845497123,0.989345417,0.172187037,0.160000002
1499672060.592361689,-1.015394211,-1.873713970,0.222768873,-0.005244360,-0.002645039,1.588381410,2.447000027,1.000000000,0.000000000,0.000000000,1.514000000,-0.001610739,0.002422840,0.008756572,0.999957405,-1.845091156,0.989317364,0.173050028,0.160000002
1499672060.607944727,-1.015394211,-1.873713970,0.222768873,-0.005244360,-0.002645039,1.588381410,2.250600100,2.000000000,0.000000000,0.000000000,1.514000000,-0.001299408,0.002633702,0.008795852,0.999956995,-1.845320720,0.989490515,0.173054875,0.160000002
1499672060.624110222,-1.015478373,-1.873746634,0.222796485,-0.005293029,-0.002384465,1.589246511,2.690299988,3.000000000,0.000000000,0.000000000,1.514000000,-0.001167763,0.002657395,0.009228092,0.999953196,-1.840908421,0.986632179,0.179769076,0.160000002
1499672060.640065432,-1.015478373,-1.873746634,0.222796485,-0.005293029,-0.002384465,1.589246511,2.894999981,4.000000000,0.000000000,0.000000000,1.514000000,-0.001167763,0.002657395,0.009228092,0.999953196,-1.839235262,0.984460520,0.181151082,0.169999993
