t, viconX, viconY, viconZ, viconXd, viconYd, viconZd, viconRo, viconPi, viconYa, px4X, px4Y, px4Z, px4Xd, px4Yd, px4Zd, px4Lidar, px4Ro, px4Pi, px4Ya, flowX, flowY, flowZ, flowPsr, uwbD, uwbAntId, uwbRspdrId, uwbRqstrId
1502109954.513095379,-1.608876109,0.990169406,0.213287443,-0.000003483,-0.000039960,0.000007940,0.011249301,-0.007099157,1.588490129,1.410000000,1.790000000,0.000000000,0.000000000,0.000000000,-0.520000000,-0.024085544,0.031764992,-0.334056019,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,3.039000034,1.000000000,0.000000000,2.000000000
1502109954.513207674,-1.608876109,0.990169406,0.213287443,-0.000003483,-0.000039960,0.000007940,0.011249301,-0.007099157,1.588490129,1.410000000,1.790000000,0.000000000,0.000000000,0.000000000,-0.520000000,-0.024085544,0.031764992,-0.334056019,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,3.321399927,1.000000000,1.000000000,3.000000000
1502109954.538215637,-1.608878493,0.990164161,0.213269144,-0.000011319,-0.000024993,-0.000030204,0.011249271,-0.007184559,1.588494420,1.410000000,1.780000000,0.010000000,0.000000000,0.000000000,-0.410000000,-0.024085544,0.031764992,-0.333706953,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,2.697000027,1.000000000,1.000000000,2.000000000
1502109954.538261414,-1.608878493,0.990164161,0.213269144,-0.000011319,-0.000024993,-0.000030204,0.011249271,-0.007184559,1.588494420,1.410000000,1.780000000,0.010000000,0.000000000,0.000000000,-0.410000000,-0.024085544,0.031764992,-0.333706953,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.777400017,1.000000000,0.000000000,3.000000000
1502109954.579121351,-1.608878493,0.990164161,0.213269144,-0.000011319,-0.000024993,-0.000030204,0.011249271,-0.007184559,1.588494420,1.410000000,1.760000000,0.030000000,0.000000000,0.000000000,-0.300000000,-0.024085544,0.031764992,-0.334405085,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.381400108,0.000000000,0.000000000,2.000000000
1502109954.579146624,-1.608878493,0.990164161,0.213269144,-0.000011319,-0.000024993,-0.000030204,0.011249271,-0.007184559,1.588494420,1.410000000,1.760000000,0.030000000,0.000000000,0.000000000,-0.300000000,-0.024085544,0.031764992,-0.334405085,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.155699968,0.000000000,1.000000000,3.000000000
1502109954.604335785,-1.608887553,0.990170538,0.213275462,-0.000006931,-0.000029222,-0.000039384,0.011317045,-0.007253902,1.588510513,1.410000000,1.770000000,0.060000000,0.000000000,0.000000000,-0.220000000,-0.024085544,0.031764992,-0.334230552,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,2.902400017,0.000000000,1.000000000,2.000000000
1502109954.604401350,-1.608887553,0.990170538,0.213275462,-0.000006931,-0.000029222,-0.000039384,0.011317045,-0.007253902,1.588510513,1.410000000,1.770000000,0.060000000,0.000000000,0.000000000,-0.220000000,-0.024085544,0.031764992,-0.334230552,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.526700020,0.000000000,0.000000000,3.000000000
1502109954.629941702,-1.608887553,0.990170538,0.213275462,-0.000006931,-0.000029222,-0.000039384,0.011317045,-0.007253902,1.588510513,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.130000000,-0.024085544,0.031939525,-0.334056019,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,3.112999916,1.000000000,0.000000000,2.000000000
1502109954.629977703,-1.608887553,0.990170538,0.213275462,-0.000006931,-0.000029222,-0.000039384,0.011317045,-0.007253902,1.588510513,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.130000000,-0.024085544,0.031939525,-0.334056019,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,3.322400093,1.000000000,1.000000000,3.000000000
1502109954.654572964,-1.608887553,0.990170538,0.213275462,-0.000006931,-0.000029222,-0.000039384,0.011317045,-0.007253902,1.588510513,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.150000000,-0.024085544,0.031764992,-0.333532420,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,2.696000099,1.000000000,1.000000000,2.000000000
1502109954.654606104,-1.608887553,0.990170538,0.213275462,-0.000006931,-0.000029222,-0.000039384,0.011317045,-0.007253902,1.588510513,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.150000000,-0.024085544,0.031764992,-0.333532420,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.780400038,1.000000000,0.000000000,3.000000000
1502109954.695061207,-1.608897805,0.990169942,0.213269100,0.000006780,-0.000026360,0.000005328,0.011256151,-0.007240840,1.588540435,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.120000000,-0.024085544,0.031764992,-0.333706953,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,3.407399893,0.000000000,0.000000000,2.000000000
1502109954.695194244,-1.608897805,0.990169942,0.213269100,0.000006780,-0.000026360,0.000005328,0.011256151,-0.007240840,1.588540435,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.120000000,-0.024085544,0.031764992,-0.333706953,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,3.158699989,0.000000000,1.000000000,3.000000000
1502109954.720339298,-1.608875275,0.990184247,0.213275999,0.000020464,-0.000013198,-0.000009140,0.011206865,-0.007101022,1.588427186,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.120000000,-0.024085544,0.031764992,-0.333706953,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,2.900399923,0.000000000,1.000000000,2.000000000
1502109954.720377922,-1.608875275,0.990184247,0.213275999,0.000020464,-0.000013198,-0.000009140,0.011206865,-0.007101022,1.588427186,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.120000000,-0.024085544,0.031764992,-0.333706953,0.080000000,0.000000000,0.000000000,0.000000000,0.000000000,3.526700020,0.000000000,0.000000000,3.000000000
1502109954.745324373,-1.608875275,0.990184247,0.213275999,0.000020464,-0.000013198,-0.000009140,0.011206865,-0.007101022,1.588427186,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031764992,-0.333532420,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,3.068000078,1.000000000,0.000000000,2.000000000
1502109954.745357752,-1.608875275,0.990184247,0.213275999,0.000020464,-0.000013198,-0.000009140,0.011206865,-0.007101022,1.588427186,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031764992,-0.333532420,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,3.323400021,1.000000000,1.000000000,3.000000000
1502109954.770412922,-1.608866930,0.990157008,0.213279232,0.000020624,-0.000043055,-0.000026988,0.011213365,-0.007129671,1.588460803,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.333183354,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,2.697999954,1.000000000,1.000000000,2.000000000
1502109954.770443916,-1.608866930,0.990157008,0.213279232,0.000020624,-0.000043055,-0.000026988,0.011213365,-0.007129671,1.588460803,1.410000000,1.770000000,0.090000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.333183354,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.772399902,1.000000000,0.000000000,3.000000000
1502109954.811135054,-1.608869791,0.990183413,0.213302448,0.000011995,0.000007266,-0.000023438,0.011408738,-0.007144749,1.588424444,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.332834288,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,3.153700113,0.000000000,1.000000000,3.000000000
1502109954.811168194,-1.608869791,0.990183413,0.213302448,0.000011995,0.000007266,-0.000023438,0.011408738,-0.007144749,1.588424444,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.332834288,0.180000000,0.000000000,0.000000000,0.000000000,0.000000000,3.346400023,0.000000000,0.000000000,2.000000000
1502109954.836369276,-1.608879805,0.990191579,0.213299707,0.000018026,0.000025172,-0.000002824,0.011302389,-0.007211618,1.588479638,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.332834288,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,2.901400089,0.000000000,1.000000000,2.000000000
1502109954.836401939,-1.608879805,0.990191579,0.213299707,0.000018026,0.000025172,-0.000002824,0.011302389,-0.007211618,1.588479638,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.332834288,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.522700071,0.000000000,0.000000000,3.000000000
1502109954.861233234,-1.608874440,0.990168810,0.213286713,0.000028352,0.000014881,0.000000085,0.011254902,-0.007201149,1.588424444,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.332834288,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,3.319400072,1.000000000,1.000000000,3.000000000
1502109954.861269951,-1.608874440,0.990168810,0.213286713,0.000028352,0.000014881,0.000000085,0.011254902,-0.007201149,1.588424444,1.410000000,1.770000000,0.080000000,0.000000000,0.000000000,-0.100000000,-0.024260077,0.031764992,-0.332834288,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,3.112999916,1.000000000,0.000000000,2.000000000
1502109954.886708260,-1.608897448,0.990179002,0.213282913,0.000011475,0.000017214,-0.000001639,0.011204765,-0.007113516,1.588519096,1.410000000,1.770000000,0.070000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031764992,-0.331961624,0.190000000,0.000000000,0.000000000,0.000000000,0.000000000,2.694000006,1.000000000,1.000000000,2.000000000
1502109954.886755705,-1.608897448,0.990179002,0.213282913,0.000011475,0.000017214,-0.000001639,0.011204765,-0.007113516,1.588519096,1.410000000,1.770000000,0.070000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031764992,-0.331961624,0.190000000,0.000000000,0.000000000,0.000000000,0.000000000,3.745399952,1.000000000,0.000000000,3.000000000
1502109954.927115440,-1.608886480,0.990177691,0.213296935,0.000018335,0.000010030,0.000010100,0.011230531,-0.007137250,1.588495493,1.410000000,1.780000000,0.070000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031590459,-0.331612558,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.338399887,0.000000000,0.000000000,2.000000000
1502109954.927906990,-1.608886480,0.990177691,0.213296935,0.000018335,0.000010030,0.000010100,0.011230531,-0.007137250,1.588495493,1.410000000,1.780000000,0.070000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031590459,-0.331612558,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.155699968,0.000000000,1.000000000,3.000000000
1502109954.952281237,-1.608907104,0.990168929,0.213290304,-0.000008065,0.000001747,0.000014391,0.011276539,-0.007172029,1.588541627,1.410000000,1.780000000,0.070000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031764992,-0.331612558,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,2.897399902,0.000000000,1.000000000,2.000000000
1502109954.952327967,-1.608907104,0.990168929,0.213290304,-0.000008065,0.000001747,0.000014391,0.011276539,-0.007172029,1.588541627,1.410000000,1.780000000,0.070000000,0.000000000,0.000000000,-0.110000000,-0.024260077,0.031764992,-0.331612558,0.140000000,0.000000000,0.000000000,0.000000000,0.000000000,3.525700092,0.000000000,0.000000000,3.000000000
1502109954.977115870,-1.608874679,0.990182698,0.213297606,0.000002096,0.000026099,0.000017548,0.011278123,-0.007125579,1.588430524,1.410000000,1.780000000,0.080000000,0.000000000,0.000000000,-0.090000000,-0.024260077,0.031590459,-0.331612558,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,3.066999912,1.000000000,0.000000000,2.000000000
1502109954.977636814,-1.608874679,0.990182698,0.213297606,0.000002096,0.000026099,0.000017548,0.011278123,-0.007125579,1.588430524,1.410000000,1.780000000,0.080000000,0.000000000,0.000000000,-0.090000000,-0.024260077,0.031590459,-0.331612558,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,3.321399927,1.000000000,1.000000000,3.000000000
1502109955.002384901,-1.608889222,0.990199029,0.213306472,-0.000001800,0.000046361,0.000037156,0.011473265,-0.007328825,1.588616729,1.410000000,1.780000000,0.090000000,0.000000000,0.000000000,-0.060000000,-0.024260077,0.031764992,-0.331088959,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,2.694000006,1.000000000,1.000000000,2.000000000
1502109955.002415657,-1.608889222,0.990199029,0.213306472,-0.000001800,0.000046361,0.000037156,0.011473265,-0.007328825,1.588616729,1.410000000,1.780000000,0.090000000,0.000000000,0.000000000,-0.060000000,-0.024260077,0.031764992,-0.331088959,0.170000000,0.000000000,0.000000000,0.000000000,0.000000000,3.774399996,1.000000000,0.000000000,3.000000000
1502109955.043243885,-1.608878374,0.990187645,0.213285416,0.000006762,0.000049790,0.000029841,0.011294619,-0.007165739,1.588474989,1.400000000,1.780000000,0.080000000,0.000000000,0.000000000,-0.070000000,-0.024260077,0.031764992,-0.330739893,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,3.417399883,0.000000000,0.000000000,2.000000000
1502109955.043380260,-1.608878374,0.990187645,0.213285416,0.000006762,0.000049790,0.000029841,0.011294619,-0.007165739,1.588474989,1.400000000,1.780000000,0.080000000,0.000000000,0.000000000,-0.070000000,-0.024260077,0.031764992,-0.330739893,0.090000000,0.000000000,0.000000000,0.000000000,0.000000000,3.158699989,0.000000000,1.000000000,3.000000000
1502109955.068248749,-1.608905554,0.990171254,0.213285685,-0.000009317,0.000026163,0.000005000,0.011194091,-0.007159280,1.588455081,1.410000000,1.780000000,0.090000000,0.000000000,0.000000000,-0.060000000,-0.024260077,0.031764992,-0.330739893,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,2.899399996,0.000000000,1.000000000,2.000000000
1502109955.068296671,-1.608905554,0.990171254,0.213285685,-0.000009317,0.000026163,0.000005000,0.011194091,-0.007159280,1.588455081,1.410000000,1.780000000,0.090000000,0.000000000,0.000000000,-0.060000000,-0.024260077,0.031764992,-0.330739893,0.120000000,0.000000000,0.000000000,0.000000000,0.000000000,3.526700020,0.000000000,0.000000000,3.000000000
1502109955.093080521,-1.608877540,0.990179300,0.213291913,-0.000023293,0.000018552,0.000014459,0.011310996,-0.007187151,1.588539839,1.410000000,1.790000000,0.100000000,0.000000000,0.000000000,-0.040000000,-0.024260077,0.031764992,-0.330565360,0.130000000,0.000000000,0.000000000,0.000000000,0.000000000,3.032000065,1.000000000,0.000000000,2.000000000
